epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,237.027,1.50613,0.57124,1.15008,0.42035,0.0056,0.0023,0.00061,1.39159,0.60823,1.24039,0.0670577,0.000332751,0.000332751
2,469.178,1.36885,0.54322,1.00655,0.19302,0.01363,0.01469,0.00371,1.13669,0.72922,0.84903,0.0340511,0.00065949,0.00065949
3,702.641,1.26648,0.61738,0.83192,0.05802,0.02927,0.03279,0.00703,1.1041,0.77149,0.79488,0.0010379,0.000979629,0.000979629
4,937.757,1.12424,0.72383,0.66763,0.31257,0.10693,0.04149,0.01269,0.9451,0.92757,0.61357,0.0009703,0.0009703,0.0009703
5,1172.26,1.00932,0.80285,0.56169,0.07949,0.09806,0.0588,0.02507,0.884,0.90359,0.55369,0.0009604,0.0009604,0.0009604
