epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,274.92,1.5384,0.55152,1.1868,0,0,0,0,1.50266,0.49862,1.24869,0.0670577,0.000332751,0.000332751
2,519.969,1.39167,0.52672,1.03977,0.11631,0.01213,0.01767,0.00352,1.25193,0.61421,1.08841,0.0340511,0.00065949,0.00065949
3,761.049,1.25961,0.61148,0.8578,0.09231,0.04268,0.04905,0.01543,1.04004,0.78602,0.72674,0.0010379,0.000979629,0.000979629
4,1003.33,1.13451,0.70223,0.68385,0.07864,0.06613,0.05191,0.02083,0.96345,0.83451,0.64111,0.0009703,0.0009703,0.0009703
5,1246.28,1.03775,0.77859,0.60659,0.16805,0.05955,0.08434,0.0332,0.88381,0.88722,0.58348,0.0009604,0.0009604,0.0009604
