epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
29,7604.18,0.5896,0.60494,0.1958,0.53552,0.29673,0.34802,0.22548,0.65323,0.69242,0.247,0.00122848,0.00122848,0.00122848
30,7865.2,0.58928,0.60367,0.19794,0.64078,0.29892,0.37539,0.24536,0.64246,0.67837,0.25142,0.00121012,0.00121012,0.00121012
31,8125.33,0.59209,0.60789,0.19872,0.56477,0.33128,0.35969,0.23169,0.65185,0.68098,0.25133,0.0011913,0.0011913,0.0011913
32,8384.84,0.58585,0.59829,0.19592,0.53805,0.34292,0.36488,0.25121,0.63705,0.69158,0.23822,0.00117206,0.00117206,0.00117206
33,8641.96,0.58341,0.59708,0.19425,0.5138,0.3392,0.38719,0.25838,0.6586,0.67051,0.24533,0.00115239,0.00115239,0.00115239
34,8899.71,0.58177,0.59315,0.1937,0.44741,0.36692,0.38176,0.25048,0.65755,0.68313,0.24701,0.00113233,0.00113233,0.00113233
35,9158.11,0.57966,0.59205,0.19429,0.46226,0.40315,0.4046,0.26162,0.64481,0.66865,0.25024,0.0011119,0.0011119,0.0011119
36,9419.21,0.56103,0.57549,0.18115,0.58665,0.36973,0.39482,0.26569,0.63796,0.66449,0.24217,0.00109111,0.00109111,0.00109111
37,9679.35,0.56239,0.5797,0.18346,0.44315,0.35273,0.36454,0.2576,0.64372,0.67538,0.23984,0.00106998,0.00106998,0.00106998
38,9939.98,0.56226,0.56925,0.18251,0.58888,0.31843,0.36714,0.2524,0.64658,0.6822,0.24648,0.00104854,0.00104854,0.00104854
39,10202.9,0.5598,0.56906,0.18233,0.533,0.30648,0.35913,0.23529,0.652,0.67183,0.25537,0.0010268,0.0010268,0.0010268
40,10462.5,0.54898,0.56332,0.17915,0.50579,0.34822,0.37765,0.26153,0.65384,0.68044,0.25557,0.0010048,0.0010048,0.0010048
41,10723.8,0.56095,0.56642,0.18014,0.51691,0.30109,0.35068,0.23986,0.66956,0.65897,0.26347,0.00098254,0.00098254,0.00098254
42,10983.7,0.54836,0.55457,0.17562,0.55441,0.3518,0.38309,0.25905,0.64412,0.67521,0.24623,0.000960054,0.000960054,0.000960054
43,11249.6,0.54523,0.56263,0.17578,0.47613,0.34814,0.37895,0.25461,0.65909,0.66921,0.25045,0.000937363,0.000937363,0.000937363
44,11507.2,0.54236,0.55878,0.17467,0.56012,0.35153,0.37716,0.24664,0.65184,0.67165,0.25136,0.000914487,0.000914487,0.000914487
45,11765.6,0.54455,0.55632,0.17533,0.53946,0.36052,0.38761,0.25384,0.64725,0.68864,0.24426,0.00089145,0.00089145,0.00089145
46,12024,0.53425,0.54625,0.17049,0.52617,0.33199,0.38526,0.25627,0.65943,0.66765,0.2556,0.000868275,0.000868275,0.000868275
47,12283.8,0.53477,0.54314,0.17125,0.42428,0.37178,0.38999,0.26919,0.64598,0.66249,0.24864,0.000844984,0.000844984,0.000844984
