epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1275.37,1.52353,0.72237,1.32098,0,0,0,0,1.73962,0.27728,1.43563,0.0802346,0.00019965,0.00019965
2,2489.13,1.40065,0.54042,1.14458,0.1867,0.00095,0.0102,0.00143,1.31005,0.58604,1.12332,0.0604345,0.000399553,0.000399553
3,3696,1.33389,0.57509,1.09347,0.0179,0.00873,0.01116,0.0034,1.23553,0.64292,1.06819,0.040634,0.000599065,0.000599065
4,4900.64,1.26991,0.58064,1.04525,0.2348,0.07087,0.03733,0.0085,1.21241,0.59381,1.07047,0.0208329,0.000797894,0.000797894
5,6096.03,1.17511,0.64473,0.90425,0.2556,0.08407,0.06264,0.01998,0.98951,0.78826,0.69736,0.00103071,0.000995748,0.000995748
6,7292.63,1.03409,0.78461,0.66015,0.16604,0.12255,0.08125,0.02727,0.92981,0.8259,0.6083,0.000993906,0.000993906,0.000993906
7,8490.41,0.95694,0.82286,0.58542,0.14027,0.13328,0.08125,0.02795,0.84815,0.90133,0.53299,0.000991232,0.000991232,0.000991232
8,9690.25,0.88795,0.87589,0.53295,0.35629,0.15747,0.10177,0.03799,0.81218,0.89723,0.50317,0.000988079,0.000988079,0.000988079
9,10887.5,0.84635,0.91038,0.49682,0.38414,0.17709,0.10358,0.04333,0.76301,0.93513,0.46896,0.000984449,0.000984449,0.000984449
