epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,295.729,1.5091,0.66645,1.15294,0.33546,0.0018,0.00094,0.00016,1.44351,0.56718,1.27429,0.0670577,0.000332751,0.000332751
2,557.905,1.39042,0.54009,1.02486,0.01549,0.01545,0.01036,0.00223,1.21912,0.70154,1.04509,0.0340511,0.00065949,0.00065949
3,818.374,1.25562,0.62326,0.84271,0.18846,0.05103,0.01546,0.00414,1.08384,0.81211,0.82556,0.0010379,0.000979629,0.000979629
4,1078.65,1.15911,0.68814,0.72388,0.2932,0.07807,0.02747,0.00793,0.98706,0.92473,0.68184,0.0009703,0.0009703,0.0009703
