epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1669.19,1.50525,0.6035,1.29759,0,0,0,0,1.46971,0.44504,1.31104,0.0801348,9.98252e-05,9.98252e-05
2,3195.37,1.40046,0.54497,1.15783,0.18541,0.00159,0.00947,0.0026,1.29771,0.60616,1.10716,0.0602347,0.000199776,0.000199776
3,4699.73,1.32025,0.58346,1.0716,0.15402,0.02667,0.0341,0.0069,1.23199,0.6163,1.03359,0.0403345,0.000299532,0.000299532
4,6192.39,1.24635,0.6101,1.00326,0.16566,0.06072,0.05251,0.01711,1.08438,0.69949,0.91126,0.0204339,0.000398947,0.000398947
5,7677.6,1.08172,0.72067,0.76389,0.18814,0.1054,0.06981,0.02344,0.9498,0.80106,0.63637,0.000532839,0.000497874,0.000497874
6,9161.43,0.97576,0.81099,0.60982,0.15194,0.09713,0.09498,0.03632,0.88126,0.84704,0.59479,0.000496953,0.000496953,0.000496953
7,10643.6,0.9089,0.84703,0.56299,0.2742,0.15424,0.10345,0.04197,0.78142,0.92522,0.4983,0.000495616,0.000495616,0.000495616
