epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,7169.64,0.54563,0.92642,0.28873,0.40115,0.35607,0.29945,0.18255,0.49886,0.93532,0.27086,0.00110846,0.00110846,0.00110846
43,7337.57,0.54069,0.92812,0.27798,0.30113,0.37279,0.26286,0.16223,0.49748,0.91203,0.27322,0.00109111,0.00109111,0.00109111
44,7504.9,0.53666,0.91028,0.27845,0.36005,0.37001,0.30038,0.18476,0.49968,0.90822,0.2735,0.00107352,0.00107352,0.00107352
45,7672.25,0.53821,0.89468,0.2765,0.33355,0.36665,0.28458,0.18128,0.50513,0.89156,0.2801,0.00105572,0.00105572,0.00105572
46,7840.42,0.53095,0.89143,0.27732,0.32463,0.33837,0.29305,0.17905,0.4954,0.91129,0.27509,0.00103771,0.00103771,0.00103771
47,8013.28,0.53489,0.88367,0.27678,0.39262,0.33415,0.28939,0.17749,0.49815,0.90496,0.27522,0.0010195,0.0010195,0.0010195
48,8186.19,0.53223,0.88892,0.27902,0.34017,0.35571,0.31164,0.19341,0.48806,0.89899,0.26883,0.0010011,0.0010011,0.0010011
49,8357.25,0.53166,0.92116,0.27632,0.32278,0.34783,0.27242,0.17402,0.49189,0.90914,0.27199,0.00098254,0.00098254,0.00098254
50,8529.23,0.52875,0.88409,0.27736,0.4,0.36994,0.29277,0.18344,0.48524,0.89237,0.26385,0.000963817,0.000963817,0.000963817
51,8702.19,0.52525,0.87358,0.26928,0.31912,0.36848,0.30297,0.1956,0.48248,0.89179,0.26394,0.000944948,0.000944948,0.000944948
52,8877.41,0.52205,0.88228,0.26478,0.38883,0.38776,0.31427,0.19721,0.47705,0.89763,0.25854,0.000925946,0.000925946,0.000925946
53,9051.26,0.52392,0.87887,0.27413,0.32973,0.38557,0.30284,0.19299,0.47911,0.89367,0.26245,0.000906825,0.000906825,0.000906825
54,9225.22,0.52087,0.86592,0.26974,0.29255,0.415,0.28711,0.1824,0.47897,0.88965,0.26071,0.000887597,0.000887597,0.000887597
55,9394.43,0.51889,0.89067,0.27072,0.40404,0.36598,0.30583,0.19349,0.4814,0.87035,0.26336,0.000868275,0.000868275,0.000868275
56,9564.89,0.52261,0.87537,0.27,0.35293,0.40396,0.31536,0.19724,0.46912,0.90842,0.2512,0.000848873,0.000848873,0.000848873
57,9734.54,0.51347,0.8748,0.26001,0.37143,0.39142,0.32939,0.20704,0.48155,0.88233,0.26261,0.000829404,0.000829404,0.000829404
58,9904.09,0.5072,0.87314,0.25967,0.40116,0.38523,0.3494,0.2155,0.48263,0.8974,0.26425,0.000809881,0.000809881,0.000809881
59,10071.6,0.51321,0.88041,0.26697,0.35736,0.41183,0.33143,0.20947,0.47608,0.86725,0.25801,0.000790318,0.000790318,0.000790318
60,10239.9,0.51051,0.84822,0.25824,0.31467,0.45406,0.34108,0.21962,0.46411,0.86918,0.25142,0.000770728,0.000770728,0.000770728
61,10409,0.51047,0.84275,0.26679,0.48291,0.35765,0.33053,0.21456,0.48333,0.87512,0.25998,0.000751125,0.000751125,0.000751125
62,10577,0.5062,0.84272,0.26328,0.42891,0.41836,0.34389,0.21756,0.47103,0.8661,0.25785,0.000731522,0.000731522,0.000731522
63,10745.2,0.50505,0.8421,0.25932,0.37889,0.4223,0.35572,0.22496,0.47142,0.85541,0.25825,0.000711932,0.000711932,0.000711932
64,10914.8,0.50087,0.84597,0.25919,0.37245,0.41934,0.34775,0.22338,0.468,0.85569,0.26125,0.000692369,0.000692369,0.000692369
65,11083.4,0.50435,0.82166,0.25917,0.38977,0.44705,0.36285,0.22791,0.4736,0.85136,0.2604,0.000672846,0.000672846,0.000672846
66,11252.5,0.49937,0.82829,0.25361,0.42496,0.43816,0.37664,0.23568,0.46981,0.85583,0.25208,0.000653377,0.000653377,0.000653377
67,11422.3,0.50086,0.85551,0.25769,0.43475,0.39849,0.33206,0.21794,0.46514,0.85023,0.25082,0.000633975,0.000633975,0.000633975
68,11591.8,0.50307,0.82923,0.25459,0.33236,0.48921,0.35879,0.22686,0.46861,0.84508,0.25477,0.000614653,0.000614653,0.000614653
69,11761.2,0.49334,0.81679,0.25602,0.4166,0.39484,0.34086,0.22096,0.46997,0.86582,0.25845,0.000595425,0.000595425,0.000595425
70,11929.4,0.49823,0.82902,0.25475,0.44103,0.40643,0.35252,0.22676,0.46491,0.86128,0.24891,0.000576304,0.000576304,0.000576304
71,12097.8,0.49496,0.81812,0.25223,0.38991,0.45072,0.36608,0.23897,0.46401,0.86072,0.25253,0.000557302,0.000557302,0.000557302
72,12265.5,0.49395,0.81412,0.2528,0.47638,0.41809,0.37257,0.23811,0.46486,0.84073,0.25592,0.000538433,0.000538433,0.000538433
73,12435.4,0.49353,0.80159,0.25528,0.44513,0.40674,0.40048,0.25084,0.46766,0.82822,0.26003,0.00051971,0.00051971,0.00051971
74,12603.3,0.48841,0.80002,0.25179,0.43557,0.43658,0.40995,0.25742,0.46092,0.82213,0.25409,0.000501145,0.000501145,0.000501145
75,12771.7,0.48556,0.79683,0.24844,0.36085,0.47405,0.37993,0.24743,0.46454,0.82732,0.25071,0.000482752,0.000482752,0.000482752
76,12939.1,0.49041,0.78138,0.25279,0.53875,0.39025,0.3863,0.24912,0.46435,0.81819,0.25471,0.000464543,0.000464543,0.000464543
77,13106.5,0.48337,0.78877,0.24629,0.42381,0.4566,0.38366,0.24652,0.45913,0.82737,0.24785,0.00044653,0.00044653,0.00044653
78,13273.6,0.48553,0.77909,0.24759,0.50168,0.39144,0.36515,0.23525,0.46515,0.8266,0.25571,0.000428726,0.000428726,0.000428726
79,13441.3,0.48036,0.78531,0.2463,0.42407,0.47472,0.40314,0.25436,0.47195,0.81889,0.26313,0.000411143,0.000411143,0.000411143
80,13609,0.48468,0.78192,0.24773,0.41444,0.49195,0.38197,0.25189,0.45836,0.8169,0.25178,0.000393793,0.000393793,0.000393793
