epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,9182.15,0.54911,0.79341,0.26183,0.44488,0.3825,0.38434,0.25215,0.45942,0.78821,0.27053,0.0005941,0.0005941,0.0005941
43,9398.46,0.54396,0.79174,0.26085,0.41288,0.40655,0.39011,0.25901,0.45494,0.78246,0.26182,0.0005842,0.0005842,0.0005842
44,9614.16,0.52958,0.80023,0.25793,0.44198,0.40337,0.39438,0.26227,0.45539,0.78473,0.27057,0.0005743,0.0005743,0.0005743
45,9829.84,0.52696,0.79571,0.25274,0.44822,0.42643,0.39735,0.26288,0.45087,0.78961,0.262,0.0005644,0.0005644,0.0005644
46,10045.9,0.52793,0.78992,0.25227,0.47851,0.43158,0.42878,0.29075,0.44842,0.77067,0.25897,0.0005545,0.0005545,0.0005545
47,10263.3,0.52819,0.77558,0.25499,0.49545,0.38274,0.3953,0.26619,0.4491,0.78404,0.26283,0.0005446,0.0005446,0.0005446
48,10480.2,0.53585,0.76849,0.25538,0.4782,0.41872,0.42149,0.28416,0.44409,0.75579,0.25886,0.0005347,0.0005347,0.0005347
49,10699,0.51879,0.76672,0.24889,0.48658,0.42343,0.42934,0.28825,0.4432,0.76078,0.25489,0.0005248,0.0005248,0.0005248
50,10916.4,0.51832,0.74989,0.24196,0.45326,0.40313,0.42949,0.28862,0.44908,0.73817,0.26333,0.0005149,0.0005149,0.0005149
51,11134.4,0.52036,0.76838,0.24955,0.49731,0.4677,0.442,0.29936,0.44935,0.74458,0.26053,0.000505,0.000505,0.000505
52,11356.9,0.50974,0.76097,0.24282,0.51898,0.41791,0.44147,0.29783,0.44443,0.73812,0.25766,0.0004951,0.0004951,0.0004951
53,11579.2,0.52405,0.751,0.25055,0.58008,0.45643,0.44507,0.30131,0.44414,0.74807,0.25788,0.0004852,0.0004852,0.0004852
54,11799.4,0.51291,0.75184,0.2424,0.48601,0.48927,0.45426,0.30481,0.44426,0.73631,0.25845,0.0004753,0.0004753,0.0004753
55,12016.3,0.52031,0.73697,0.24717,0.5822,0.41328,0.42508,0.28994,0.44805,0.73098,0.26017,0.0004654,0.0004654,0.0004654
56,12234.5,0.50184,0.74088,0.23751,0.55082,0.43054,0.43279,0.29318,0.43392,0.75027,0.25126,0.0004555,0.0004555,0.0004555
57,12452,0.50106,0.73915,0.23982,0.51275,0.41807,0.44774,0.29855,0.43816,0.73705,0.25231,0.0004456,0.0004456,0.0004456
58,12668.7,0.50317,0.72762,0.2404,0.5304,0.41247,0.45169,0.3051,0.44444,0.71811,0.26137,0.0004357,0.0004357,0.0004357
59,12891.3,0.50363,0.72001,0.2388,0.54156,0.42392,0.45805,0.31213,0.43792,0.72073,0.25781,0.0004258,0.0004258,0.0004258
60,13108.8,0.50338,0.71834,0.23749,0.48493,0.45158,0.45202,0.3023,0.44011,0.72458,0.25497,0.0004159,0.0004159,0.0004159
61,13324.5,0.50568,0.71699,0.23675,0.58774,0.4109,0.45958,0.31075,0.43956,0.70933,0.25833,0.000406,0.000406,0.000406
