epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,11008.6,1.05708,0.76025,0.43801,0.24506,0.06301,0.04102,0.02201,1.05713,0.74361,0.45677,0.00115207,0.00115207,0.00115207
43,11267.6,1.05535,0.76092,0.44407,0.18218,0.06758,0.04586,0.02319,1.04364,0.73311,0.4506,0.00112484,0.00112484,0.00112484
44,11526.4,1.04319,0.75862,0.43761,0.3196,0.0561,0.0425,0.02221,1.03622,0.7352,0.44509,0.00109738,0.00109738,0.00109738
45,11784.4,1.04657,0.75939,0.43507,0.14679,0.08556,0.0459,0.02164,1.02806,0.74438,0.43119,0.00106974,0.00106974,0.00106974
46,12043.1,1.03178,0.7645,0.42928,0.32234,0.06556,0.05255,0.02772,1.01075,0.74674,0.42986,0.00104193,0.00104193,0.00104193
47,12308,1.0338,0.76074,0.42905,0.23527,0.06755,0.04672,0.02474,1.01581,0.73684,0.43395,0.00101398,0.00101398,0.00101398
48,12567,1.02495,0.76916,0.41823,0.30335,0.06956,0.05017,0.02382,1.01643,0.75136,0.4304,0.00098592,0.00098592,0.00098592
49,12825.7,1.02543,0.77183,0.42703,0.23974,0.07881,0.05724,0.02929,1.02319,0.74176,0.44226,0.000957777,0.000957777,0.000957777
50,13083.5,1.0196,0.76472,0.4172,0.2676,0.07639,0.06133,0.03308,1.00662,0.74389,0.43499,0.000929577,0.000929577,0.000929577
51,13342.1,1.02031,0.76461,0.41725,0.24279,0.07384,0.05336,0.02864,1.01131,0.75008,0.42861,0.00090135,0.00090135,0.00090135
52,13599.8,1.00859,0.7698,0.40959,0.31813,0.07253,0.05552,0.02875,1.00924,0.73102,0.43325,0.000873123,0.000873123,0.000873123
53,13858.3,1.00809,0.76804,0.4126,0.2467,0.09297,0.06002,0.03202,0.99193,0.75459,0.42003,0.000844923,0.000844923,0.000844923
54,14117.4,1.00075,0.77149,0.40596,0.25045,0.08812,0.05776,0.03275,0.99068,0.75372,0.41666,0.00081678,0.00081678,0.00081678
55,14380.3,0.99341,0.77732,0.40587,0.29462,0.0899,0.06228,0.03148,0.98456,0.74927,0.41146,0.000788719,0.000788719,0.000788719
56,14637.2,0.99079,0.77223,0.40201,0.36911,0.08878,0.07572,0.0363,0.99363,0.74973,0.42127,0.00076077,0.00076077,0.00076077
57,14895.7,0.99305,0.77164,0.39962,0.27938,0.07513,0.0513,0.02762,0.99162,0.74539,0.41862,0.00073296,0.00073296,0.00073296
58,15155.2,0.99258,0.76694,0.40352,0.39736,0.0684,0.06199,0.03428,0.98866,0.7403,0.4232,0.000705316,0.000705316,0.000705316
59,15414,0.99449,0.76177,0.40144,0.3371,0.08289,0.07301,0.04014,0.98346,0.75255,0.4108,0.000677865,0.000677865,0.000677865
