epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1275.73,1.48181,0.65284,1.29635,0.00917,0.00116,0.005,0.00135,1.41803,0.5646,1.27775,0.0669911,0.0002662,0.0002662
2,2453.06,1.34967,0.57059,1.10795,0.03202,0.00442,0.01741,0.00459,1.25593,0.61871,1.06154,0.0339243,0.000532737,0.000532737
3,3631.7,1.2016,0.68198,0.86621,0.04693,0.02804,0.02634,0.007,1.13792,0.73838,0.81838,0.000857028,0.000798753,0.000798753
4,4810.86,1.10108,0.75125,0.70385,0.33982,0.07926,0.06606,0.02263,0.94933,0.83793,0.61675,0.000798243,0.000798243,0.000798243
5,5993.65,1.0139,0.80887,0.62635,0.19035,0.09033,0.06624,0.02311,0.8784,0.8774,0.55003,0.000796877,0.000796877,0.000796877
6,7174.6,0.95074,0.84571,0.58193,0.11263,0.16446,0.08375,0.02998,0.85613,0.90602,0.55209,0.000795125,0.000795125,0.000795125
7,8357.08,0.916,0.85475,0.55547,0.37628,0.1328,0.08722,0.03657,0.80469,0.91623,0.50002,0.000792986,0.000792986,0.000792986
8,9538.43,0.86001,0.89238,0.51432,0.15632,0.21539,0.11564,0.04794,0.75287,0.93213,0.45703,0.000790463,0.000790463,0.000790463
9,10719.5,0.81617,0.91665,0.47518,0.34807,0.17008,0.12235,0.05519,0.69621,0.98507,0.42441,0.000787559,0.000787559,0.000787559
