epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3064.41,0.53717,1.02477,0.27837,0.38267,0.34425,0.18963,0.11864,0.48244,1.04062,0.2677,0.00162574,0.00162574,0.00162574
43,3136.78,0.53041,1.02264,0.27227,0.29814,0.30735,0.19227,0.11243,0.48252,1.06615,0.25944,0.00160029,0.00160029,0.00160029
44,3212.04,0.51864,1.01175,0.26485,0.38805,0.35272,0.20461,0.13081,0.47033,1.00242,0.2571,0.0015745,0.0015745,0.0015745
45,3286.21,0.52872,0.99248,0.26781,0.32508,0.3212,0.20045,0.12002,0.53435,1.00712,0.29838,0.00154839,0.00154839,0.00154839
46,3360.93,0.57443,1.02963,0.30351,0.28227,0.28403,0.17106,0.10553,0.54107,1.02847,0.30669,0.00152197,0.00152197,0.00152197
47,3434.89,0.54355,1.00513,0.2772,0.27166,0.32068,0.17167,0.10683,0.49356,1.04267,0.26901,0.00149526,0.00149526,0.00149526
48,3508.93,0.53449,1.01544,0.27683,0.37699,0.34681,0.20346,0.12694,0.50199,1.00216,0.2836,0.00146829,0.00146829,0.00146829
49,3581.31,0.52345,0.9943,0.26799,0.25263,0.43352,0.24174,0.15276,0.48413,0.99356,0.26651,0.00144106,0.00144106,0.00144106
50,3653.74,0.51283,0.9985,0.2562,0.31963,0.33654,0.21234,0.1349,0.48216,0.99677,0.26641,0.0014136,0.0014136,0.0014136
51,3725.72,0.5173,0.99849,0.26279,0.24818,0.36636,0.21749,0.14088,0.46768,1.00925,0.25245,0.00138592,0.00138592,0.00138592
52,3797.46,0.51533,0.99288,0.26173,0.21818,0.36463,0.21676,0.13602,0.4674,1.00843,0.25194,0.00135805,0.00135805,0.00135805
53,3870.48,0.50773,0.98224,0.25798,0.38962,0.33976,0.19797,0.12945,0.48335,1.0075,0.26449,0.00133001,0.00133001,0.00133001
54,3942.59,0.49987,0.99452,0.25154,0.2108,0.36305,0.20189,0.12879,0.46323,1.02163,0.24813,0.00130181,0.00130181,0.00130181
55,4014.48,0.49844,0.98914,0.25317,0.3308,0.34518,0.22754,0.14965,0.46303,0.97987,0.25367,0.00127347,0.00127347,0.00127347
